countryname,countrycode,ccode7,ccode13,ccode12,ccode11
Ecuador,ECU,100,100,100,100
"Egypt, Arab Rep.",EGY,100,100,100,100
El Salvador,SLV,100,100,100,100
Equatorial Guinea,GNQ,100,100,100,100
Eritrea,ERI,100,100,100,100
Eswatini,SWZ,100,100,100,100
Ethiopia,ETH,100,100,100,100
Faroe Islands,FRO,100,100,100,100
Fiji,FJI,100,100,100,100
French Polynesia,PYF,100,100,100,100
Gabon,GAB,100,100,100,100
"Gambia, The",GMB,100,100,100,100
Georgia,GEO,100,100,100,100
Ghana,GHA,100,100,100,100
Gibraltar,GIB,100,100,100,100
Greenland,GRL,100,100,100,100
Grenada,GRD,100,100,100,100
Guam,GUM,100,100,100,100
Guatemala,GTM,100,100,100,100
Guinea,GIN,100,100,100,100
Guinea-Bissau,GNB,100,100,100,100
Guyana,GUY,100,100,100,100
Haiti,HTI,100,100,100,100
Honduras,HND,100,100,100,100
"Hong Kong SAR, China",HKG,100,100,100,100
"Iran, Islamic Rep.",IRN,100,100,100,100
Iraq,IRQ,100,100,100,100
Isle of Man,IMN,100,100,100,100
Israel,ISR,100,100,100,100
Jamaica,JAM,100,100,100,100
Jordan,JOR,100,100,100,100
Kazakhstan,KAZ,100,100,100,100
Kenya,KEN,100,100,100,100
Kiribati,KIR,100,100,100,100
"Korea, Dem. People's Rep.",PRK,100,100,100,100
Kosovo,XKX,100,100,100,100
Kuwait,KWT,100,100,100,100
Kyrgyz Republic,KGZ,100,100,100,100
Lao PDR,LAO,100,100,100,100
Lebanon,LBN,100,100,100,100
Lesotho,LSO,100,100,100,100
Liberia,LBR,100,100,100,100
Libya,LBY,100,100,100,100
"Macao SAR, China",MAC,100,100,100,100
Madagascar,MDG,100,100,100,100
Malawi,MWI,100,100,100,100
Malaysia,MYS,100,100,100,100
Maldives,MDV,100,100,100,100
Mali,MLI,100,100,100,100
Marshall Islands,MHL,100,100,100,100
Mauritania,MRT,100,100,100,100
Mauritius,MUS,100,100,100,100
"Micronesia, Fed. Sts.",FSM,100,100,100,100
Moldova,MDA,100,100,100,100
Mongolia,MNG,100,100,100,100
Montenegro,MNE,100,100,100,100
Morocco,MAR,100,100,100,100
Mozambique,MOZ,100,100,100,100
Myanmar,MMR,100,100,100,100
Namibia,NAM,100,100,100,100
Nauru,NRU,100,100,100,100
Nepal,NPL,100,100,100,100
New Caledonia,NCL,100,100,100,100
New Zealand,NZL,100,100,100,100
Nicaragua,NIC,100,100,100,100
Niger,NER,100,100,100,100
Nigeria,NGA,100,100,100,100
Northern Mariana Islands,MNP,100,100,100,100
Oman,OMN,100,100,100,100
Pakistan,PAK,100,100,100,100
Palau,PLW,100,100,100,100
Panama,PAN,100,100,100,100
Papua New Guinea,PNG,100,100,100,100
Paraguay,PRY,100,100,100,100
Peru,PER,100,100,100,100
Philippines,PHL,100,100,100,100
Puerto Rico,PRI,100,100,100,100
Qatar,QAT,100,100,100,100
Rwanda,RWA,100,100,100,100
Samoa,WSM,100,100,100,100
Sao Tome and Principe,STP,100,100,100,100
Saudi Arabia,SAU,100,100,100,100
Senegal,SEN,100,100,100,100
Seychelles,SYC,100,100,100,100
Sierra Leone,SLE,100,100,100,100
Singapore,SGP,100,100,100,100
Sint Maarten (Dutch part),SXM,100,100,100,100
Solomon Islands,SLB,100,100,100,100
Somalia,SOM,100,100,100,100
South Africa,ZAF,100,100,11,100
South Sudan,SSD,100,100,100,100
Sri Lanka,LKA,100,100,100,100
St. Kitts and Nevis,KNA,100,100,100,100
St. Lucia,LCA,100,100,100,100
St. Martin (French part),MAF,100,100,100,100
St. Vincent and the Grenadines,VCT,100,100,100,100
Sudan,SDN,100,100,100,100
Suriname,SUR,100,100,100,100
Syrian Arab Republic,SYR,100,100,100,100
Tajikistan,TJK,100,100,100,100
Tanzania,TZA,100,100,100,100
Thailand,THA,100,100,100,100
Timor-Leste,TLS,100,100,100,100
Togo,TGO,100,100,100,100
Tonga,TON,100,100,100,100
Trinidad and Tobago,TTO,100,100,100,100
Tunisia,TUN,100,100,100,100
Turkmenistan,TKM,100,100,100,100
Turks and Caicos Islands,TCA,100,100,100,100
Tuvalu,TUV,100,100,100,100
Uganda,UGA,100,100,100,100
Ukraine,UKR,100,100,100,100
United Arab Emirates,ARE,100,100,100,100
Uruguay,URY,100,100,100,100
Uzbekistan,UZB,100,100,100,100
Vanuatu,VUT,100,100,100,100
"Venezuela, RB",VEN,100,100,100,100
Vietnam,VNM,100,100,100,100
Virgin Islands (U.S.),VIR,100,100,100,100
West Bank and Gaza,PSE,100,100,100,100
"Yemen, Rep.",YEM,100,100,100,100
Zambia,ZMB,100,100,100,100
Zimbabwe,ZWE,100,100,100,100
World,WLD,999,999,999,999
